"Aircraft: Airline/Operator","Aircraft: Make/Model","Aircraft: Type","Airport: Name","Altitude bin","Conditions: Precipitation","Conditions: Sky","Effect: Impact to flight","Effect: Indicated Damage","Effect: Other","FlightDate","Number of human fatalities","Number of people injured","Origin State","Remarks","When: Phase of flight","When: Time of day","Wildlife: Number struck","Wildlife: Size","Wildlife: Species","Aircraft: Flight Number","Aircraft: Number of engines?","Cost: Other (inflation adj)","Cost: Repair (inflation adj)","Cost: Total $","Feet above ground","Miles from airport","Number of Records","Record ID","Speed (IAS) in knots"
"MILITARY","T-1A","Airplane","FORT SMITH MUNICIPAL ARPT","Unknown","None","No Clouds","Precautionary Landing","No damage",,9/3/2000 0:00,,,"Arkansas","Grayish/Brown Bird; windshield was scratched and marked.","Climb","Day",1,"Medium","Unknown bird or bat",,,0,0,0,,,1,"4,490",
"MILITARY","F-16D","Airplane","SPRINGFIELD BECKLEY MUNICIPAL","< 1000 ft",,,"Aborted Take-off","No damage",,9/2/2000 0:00,,,"Ohio","Aborted takeoff, subsequent hot brake actions and left main wheel fire.  Flames extinguished without further damage to aircraft.","Take-off run","Day",,"Medium","Unknown bird or bat",,,0,"37,017","37,017",0,0,1,"4,489",140
"MILITARY","C-130H","Airplane","NIAGARA FALLS INTL","> 1000 ft","None","No Clouds","Precautionary Landing","No damage",,9/1/2000 0:00,,,"New York",,"Climb","Night",1,"Medium","Unknown bird - medium",,,0,0,0,"2,000",,1,"4,487",140
"MILITARY","T-1A","Airplane","FORBES FIELD AIRPORT","< 1000 ft",,,,"No damage",,9/1/2000 0:00,,,"Kansas",,"Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"4,488",120
"MILITARY","C-17A","Airplane","CHARLESTON AFB/INTL ARPT","Unknown",,,"None","No damage",,8/30/2000 0:00,,,"South Carolina",,"Approach","Day","2 to 10","Medium","Unknown bird or bat",,,0,0,0,,,1,"7,577",
"MILITARY","KC-135E","Airplane","FORBES FIELD AIRPORT","Unknown","None","No Clouds","Aborted Take-off","No damage",,8/30/2000 0:00,,,"Kansas",,"Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,,0,1,"2,354",120
"MILITARY","C-141C","Airplane","RICKENBACKER INTL","Unknown",,,"None","No damage",,8/30/2000 0:00,,,"Ohio",,"Approach","Day",1,"Medium","Unknown bird or bat",,,0,0,0,,,1,"2,352",124
"MILITARY","KC-135E","Airplane","HARRISBURG INTL","> 1000 ft","None","Some Clouds","Precautionary Landing","No damage",,8/30/2000 0:00,,,"Pennsylvania",,"Approach","Dusk","2 to 10","Medium","Unknown bird - medium",,,0,0,0,"1,800",,1,"2,353",200
"MILITARY","C-130H","Airplane","DULUTH INTL ARPT","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/30/2000 0:00,,,"Minnesota",,"Approach","Day",1,"Medium","Unknown bird - medium",,,0,0,0,300,,1,"2,351",150
"MILITARY","KC-135R","Airplane","AMARILLO INTL","< 1000 ft","None","No Clouds","None","No damage",,8/29/2000 0:00,,,"Texas",,"Approach","Day",1,"Small","Unknown bird - small",,,0,0,0,250,,1,"2,350",168
"MILITARY","T-37B",,"SHEPPARD AIR FORCE BASE","< 1000 ft","None","No Cloud","None","No damage",,8/29/2000 0:00,,,"Texas","Impact on nose gear in nose wheel well","Take-off run","Night",1,"Small","Common nighthawk",,,0,0,0,0,0,1,"7,576",75
"MILITARY","F-15B","Airplane","KLAMATH FALLS INTL","> 1000 ft","Rain","No Clouds","None","No damage",,8/28/2000 0:00,,,"Oregon","NO REMAINS FOUND","Approach","Night",1,"Large","Unknown bird - large",,,0,0,0,"2,000",,1,"2,349",250
"MILITARY","T-1A","Airplane","HUNTSVILLE INTL","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/28/2000 0:00,,,"Alabama",,"Approach","Day",1,"Small","Chimney swift",,,0,0,0,50,,1,"3,524",110
"MILITARY","C-130H","Airplane","ROSECRANS MEMORIAL ARPT","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/27/2000 0:00,,,"Missouri",,"Landing Roll","Day",1,"Small","Buff-breasted sandpiper",,,0,0,0,0,0,1,"3,523",80
"MILITARY","KC-135E","Airplane","BANGOR INTL","> 1000 ft","None",,"None","No damage",,8/24/2000 0:00,,,"Maine",,"Approach","Day",1,"Medium","Unknown bird - medium",,,0,0,0,"1,900",,1,"3,521",160
"MILITARY","C-21A","Airplane","GULFPORT BILOXI REGIONAL","< 1000 ft","None","Some Clouds","Precautionary Landing","No damage",,8/24/2000 0:00,,,"Mississippi","Reported by Maxwell C Peck, Jr_x000D_
Air Traffic Manager","Approach","Day",1,"Small","Unknown bird - small",,,0,0,0,150,,1,"3,522",130
"MILITARY","C-130E","Airplane","GREATER PEORIA REGIONAL ARPT","< 1000 ft","None","No Clouds","None","No damage",,8/23/2000 0:00,,,"Illinois","Crew aborted flight for a smell and an unrelated electrical problem (#4 generator). Bird remains found in the #1 intake the next morning.","Approach","Night",1,"Small","Cedar waxwing",,,0,0,0,"1,000",,1,"2,737",200
"MILITARY","C-130E","Airplane","GREATER PEORIA REGIONAL ARPT","< 1000 ft","None",,"Precautionary Landing","No damage",,8/23/2000 0:00,,,"Illinois",,"Approach","Night",1,"Small","Barn swallow",,,0,0,0,600,,1,"2,738",130
"MILITARY","T-1A","Airplane","TEXARKANA-WEBB FIELD","> 1000 ft","None","No Clouds","None","No damage",,8/22/2000 0:00,,,"Arkansas",,"Approach","Day",,"Medium","Unknown bird - medium",,,0,0,0,"1,400",,1,"2,735",184
"MILITARY","KC-135R","Airplane","PEASE INTL TRADEPORT","< 1000 ft",,"Some Clouds","None","No damage",,8/22/2000 0:00,,,"New Hampshire",,"Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,736",170
"MILITARY","C-130E","Airplane","GREATER PEORIA REGIONAL ARPT","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/21/2000 0:00,,,"Illinois","Saw the bird just prior to impact. On a previous approach saw a group of 2-10 birds.","Approach","Day",1,"Small","Unknown bird - small",,,0,0,0,200,,1,"1,206",140
"MILITARY","C-21A","Airplane","LA CROSSE MUNICIPAL AIRPORT","< 1000 ft","None","No Clouds","None","No damage",,8/19/2000 0:00,,,"Wisconsin","NO REMAINS FOUND.","Landing Roll","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"1,205",110
"MILITARY","T-44A","Airplane","CORPUS CHRISTI INTL ARPT","Unknown",,,"Precautionary Landing","No damage",,8/18/2000 0:00,,,"Texas","FAA report_x000D_
_x000D_
Reported by CRP ATCT","Approach","Night",,"Medium","Unknown bird or bat",,,0,0,0,,,1,"1,204",
"MILITARY","T-43A","Airplane","AMARILLO INTL","< 1000 ft","None","No Clouds","None","No damage",,8/17/2000 0:00,,,"Texas","no remains","Climb","Day",1,"Small","Unknown bird - small",,,0,21,21,100,,1,"1,203",170
"MILITARY","T-1A","Airplane","HUNTSVILLE INTL","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/16/2000 0:00,,,"Alabama",,"Approach","Day","2 to 10","Medium","Unknown bird - medium",,,0,0,0,700,,1,"2,892",125
"MILITARY","KC-135R","Airplane","PEASE INTL TRADEPORT","< 1000 ft",,,"None","No damage",,8/16/2000 0:00,,,"New Hampshire",,"Take-off run","Dawn","2 to 10","Medium","Unknown bird or bat",,,0,0,0,0,0,1,"1,201",150
"MILITARY","KC-135R","Airplane","PEASE INTL TRADEPORT","< 1000 ft",,,"None","No damage",,8/16/2000 0:00,,,"New Hampshire",,"Take-off run","Dawn",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"1,202",170
"MILITARY","E-8C","Airplane","SAVANNAH INTL","< 1000 ft","None","No Clouds","None","No damage",,8/15/2000 0:00,,,"Georgia",,"Climb","Night","2 to 10","Small","Mourning dove",,,0,0,0,100,,1,"2,891",130
"MILITARY","T-1A","Airplane","TERRE HAUTE INTL ARPT-HULMAN FIELD","< 1000 ft","None","No Clouds","None","No damage",,8/15/2000 0:00,,,"Indiana",,"Approach","Night","2 to 10","Small","Unknown bird - small",,,0,0,0,50,,1,"2,398",109
"MILITARY","T-1A","Airplane","KEY FLD","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/14/2000 0:00,,,"Mississippi",,"Take-off run","Day",1,"Small","Barn swallow",,,0,0,0,0,0,1,"2,397",120
"MILITARY","T-1A","Airplane","LAREDO INTL","< 1000 ft","None","Some Clouds","Aborted Take-off","No damage",,8/14/2000 0:00,,,"Texas","Bird identified as a dove.  No damage to aircraft._x000D_
_x000D_
No remains received at Smithsonian.","Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,396",125
"MILITARY","T-1A","Airplane","FORT SMITH MUNICIPAL ARPT","< 1000 ft",,,"Aborted Take-off","No damage",,8/14/2000 0:00,,,"Arkansas",,"Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,395",109
"MILITARY","KC-135R","Airplane","RICKENBACKER INTL","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/12/2000 0:00,,,"Ohio","No remains found to forward.","Landing Roll","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,393",147
"MILITARY","KC-135R","Airplane","RICKENBACKER INTL","< 1000 ft","None","No Clouds","None","No damage",,8/12/2000 0:00,,,"Ohio","NO REMAINS FOUND.","Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,394",165
"MILITARY","T-1A","Airplane","MIDLAND INTL","< 1000 ft","None","No Clouds","Aborted Take-off","No damage",,8/11/2000 0:00,,,"Texas","Saw two sparrows on touch and go.  Both identified as sparrows.  No damage to aircraft. Two sparrows identified by ground personnel._x000D_
_x000D_
No remains were received at the Smithsonian.","Take-off run","Day","2 to 10","Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,392",120
"MILITARY","KC-135R","Airplane","RICKENBACKER INTL","Unknown","None",,"None","No damage",,8/10/2000 0:00,,,"Ohio","The location of the two strikes were; Number one engine cowling and the Left Outboard Flap. Bird strike was discovered during postflight inspection.  Aircrew did not have any indication of a birdstrike during flight. No remains available for identificatio",,"Dusk","2 to 10","Medium","Unknown bird or bat",,,0,0,0,,,1,"2,890",
"MILITARY","KC-135R","Airplane","PEASE INTL TRADEPORT","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/10/2000 0:00,,,"New Hampshire","Remains placed in bird locker to await autopsy by ADC","Climb","Day",1,"Small","Unknown bird - small",,,0,0,0,700,,1,"2,888",175
"MILITARY","KC-135R","Airplane","PEASE INTL TRADEPORT","< 1000 ft",,,"None","No damage",,8/10/2000 0:00,,,"New Hampshire",,"Climb","Dawn",1,"Small","Unknown bird - small",,,0,0,0,800,,1,"2,391",175
"MILITARY","T-38C","Airplane","MCGHEE TYSON ARPT","< 1000 ft","None","Some Clouds","None","No damage",,8/10/2000 0:00,,,"Tennessee","FAA Report_x000D_
_x000D_
Possible Black Birds_x000D_
_x000D_
Struck rt. elevator","Landing Roll","Day","2 to 10","Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,887",140
"MILITARY","C-130E","Airplane","READING REGIONAL","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/10/2000 0:00,,,"Pennsylvania",,"Climb","Night","2 to 10","Medium","American wigeon",,,0,0,0,700,,1,"3,531",140
"MILITARY","C-21A","Airplane","CENTRAL NEBRASKA REGIONAL","< 1000 ft","None","No Clouds","None","No damage",,8/10/2000 0:00,,,"Nebraska","No remains found. Crew reported that the birds were identified as two barn swallows.","Take-off run","Day","2 to 10","Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,889",110
"MILITARY","T-37B",,"SHEPPARD AIR FORCE BASE","< 1000 ft","None",,"None","No damage",,8/10/2000 0:00,,,"Texas",,"Climb","Day",1,"Small","Upland sandpiper",,,0,0,0,"1,000",,1,"7,344",200
"MILITARY","KC-135R","Airplane","RICKENBACKER INTL","Unknown","None","Overcast","Precautionary Landing","No damage",,8/9/2000 0:00,,,"Ohio",,"Climb","Day","2 to 10","Small","Barn swallow",,,0,0,0,,,1,"3,530",150
"MILITARY","KC-135R","Airplane","RICKENBACKER INTL","< 1000 ft","None","Overcast","Aborted Take-off","No damage",,8/9/2000 0:00,,,"Ohio","Strike occured to Co-Pilots Window, no damage.","Take-off run","Day","2 to 10","Medium","Unknown bird or bat",,,0,0,0,0,0,1,"3,528",140
"MILITARY","KC-135E","Airplane","BIRMINGHAM-SHUTTLESWORTH INTL","< 1000 ft","None","No Clouds","None","No damage",,8/9/2000 0:00,,,"Alabama","NO REMAINS AVAILABLE","Approach","Day",,"Medium","Unknown bird - medium",,,0,0,0,500,,1,"3,529",170
"MILITARY","C-130H","Airplane","GREATER ROCKFORD","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/8/2000 0:00,,,"Illinois",,"Landing Roll","Day","2 to 10","Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,772",100
"MILITARY","KC-10A","Airplane","ATLANTIC CITY INTL","< 1000 ft",,,"Precautionary Landing","No damage",,8/8/2000 0:00,,,"New Jersey","No remains found.  Accomplished full stop at McGuire for birdstrike inspection.  No damage.  Took off again to complete mission.","Climb","Day",1,"Medium","Unknown bird - medium",,,0,0,0,50,,1,"2,771",150
"MILITARY","C-130H","Airplane","YOUNGSTOWN-WARREN RGNL ARPT","< 1000 ft","None","Some Clouds","Precautionary Landing","No damage",,8/7/2000 0:00,,,"Ohio","Starlings","Approach","Day","2 to 10","Small","Unknown bird - small",,,0,0,0,100,,1,"2,770",
"MILITARY","KC-135E","Airplane","BANGOR INTL","< 1000 ft","Rain","Overcast","Precautionary Landing","No damage",,8/7/2000 0:00,,,"Maine","Barn swallow","Landing Roll","Day",1,"Small","Unknown bird - small",,,0,0,0,10,0,1,"2,948",150
"MILITARY","T-37B",,"SHEPPARD AIR FORCE BASE","< 1000 ft","None","No Cloud","None","No damage",,8/7/2000 0:00,,,"Texas",,"Take-off run","Dusk",,"Small","Scarlet tanager",,,0,21,21,0,0,1,"7,343",80
"MILITARY","C-130H","Airplane","GENERAL MITCHELL INTL","< 1000 ft","None","No Clouds","Aborted Take-off","No damage",,8/6/2000 0:00,,,"Wisconsin",,"Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,947",110
"MILITARY","KC-135E","Airplane","MCGHEE TYSON ARPT","Unknown","None","No Clouds","None","No damage",,8/5/2000 0:00,,,"Tennessee","Black Bird","Approach","Day",1,"Medium","Unknown bird or bat",,,0,0,0,,,1,"2,946",
"MILITARY","KC-135R","Airplane","RICKENBACKER INTL","Unknown",,,"None","No damage",,8/4/2000 0:00,,,"Ohio","Strike occured to number two engine, at the one o'clock position.  No damage to engine.",,"Day",1,"Medium","Unknown bird or bat",,,0,0,0,,,1,"2,942",
"MILITARY","UNKNOWN",,"QUONSET STATE ARPT","Unknown",,,,"No damage",,8/4/2000 0:00,,,"Rhode Island","Bird remains were found on Quonset State Airport airfield ~ 75' from runway centerline. Airport is cohabited by military and civilian aircraft. As of this date, no reports of bird strides have been reported to identify the aircraft involved. Furthermore,",,,1,"Small","Barn swallow",,,0,0,0,,,1,"2,945",
"MILITARY","KC-135R","Airplane","FORBES FIELD AIRPORT","> 1000 ft","Snow","No Clouds","None","No damage",,8/4/2000 0:00,,,"Kansas",,"Approach","Day",1,"Medium","Unknown bird - medium",,,0,0,0,"1,500",,1,"2,943",160
"MILITARY","KC-135E","Airplane","MCGHEE TYSON ARPT","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,8/4/2000 0:00,,,"Tennessee",,"Approach","Day",1,"Small","Unknown bird - small",,,0,0,0,200,,1,"2,769",150
"MILITARY","T-1A","Airplane","SALINA MUNICIPAL","< 1000 ft",,,"None","No damage",,8/4/2000 0:00,,,"Kansas",,"Climb","Day",1,"Medium","Unknown bird - medium",,,0,0,0,50,,1,"2,944",130
"MILITARY","F-16C","Airplane","ABRAHAM LINCOLN CAPITAL ARPT","< 1000 ft","None","No Clouds","None","No damage",,8/4/2000 0:00,,,"Illinois","During BPO inspection, the crewchief noted bird remain had impacted the engine fan frame strut at about the 11 o'clock position. Engine and NDI shop personnel accomplished engine borescope and fan mid span inspections IA with tech data. Conclusion of inve","Approach","Day",1,,"Swallows",,,0,0,0,100,,1,"2,941",140
"MILITARY","C-130H","Airplane","YOUNGSTOWN-WARREN RGNL ARPT","Unknown",,,,"No damage",,8/3/2000 0:00,,,"Ohio","Cargo comp. air conditioner found on post flight.",,,,"Small","Chimney swift",,,0,0,0,,,1,"2,767",
"MILITARY","KC-135R","Airplane","RICKENBACKER INTL","Unknown",,,"None","No damage",,8/3/2000 0:00,,,"Ohio","Bird strike was discovered during postflight inspection.  Aircrew did not have any indication of a birdstrike during flight. No remains available for identification.",,"Day",1,"Medium","Unknown bird or bat",,,0,0,0,,,1,"3,527",
"MILITARY","C-5A","Airplane","PEASE INTL TRADEPORT","Unknown",,,,"No damage",,8/3/2000 0:00,,,"New Hampshire",,,,1,"Medium","Unknown bird or bat",,,0,0,0,,,1,"3,076",
"MILITARY","KC-135R","Airplane","PEASE INTL TRADEPORT","Unknown","None","Some Clouds","Precautionary Landing","No damage",,8/3/2000 0:00,,,"New Hampshire",,,"Day",,"Medium","Unknown bird or bat",,,0,0,0,,,1,"3,075",
"MILITARY","KC-135R","Airplane","RICKENBACKER INTL","Unknown",,,"None","No damage",,8/3/2000 0:00,,,"Ohio","Bird entered Number 1 engine at the six o'clock position.  Partial impact on Integrated Drive Generator cooler, with no damage found.",,"Day",,"Medium","Unknown bird or bat",,,0,0,0,,,1,"2,766",
"MILITARY","T-1A","Airplane","KEY FLD","< 1000 ft","None","Overcast","Precautionary Landing","No damage",,8/3/2000 0:00,,,"Mississippi",,"Climb","Dusk",1,"Small","Barn swallow",,,0,0,0,50,,1,"2,768",120
"MILITARY","T-1A","Airplane","HUNTSVILLE INTL","< 1000 ft","None","No Clouds","Other","No damage",,8/3/2000 0:00,,,"Alabama",,"Approach","Dusk",1,"Small","Common grackle",,,0,0,0,500,,1,"3,526",130
"MILITARY","F-16A","Airplane","DULUTH INTL ARPT","Unknown","None","No Clouds","None","No damage",,8/2/2000 0:00,,,"Minnesota","Occurred in traffic pattern with gear down. Pilot was not aware of strikd until post-flight. Exact AGL not known, but was 1500' or less. No damage to aircraft.","Approach","Day",1,"Small","American kestrel",,,0,0,0,,,1,"3,209",250
"MILITARY","C-130H","Airplane","TRI-STATE MILTON FERGUSON","Unknown","None","Some Clouds","None","No damage",,8/2/2000 0:00,,,"West Virginia",,"Approach","Day",1,"Medium","Unknown bird or bat",,,0,0,0,,,1,"3,525",
"MILITARY","C-130H","Airplane","MANSFIELD LAHM MUNICIPAL","< 1000 ft","None","Some Clouds","None","No damage",,8/2/2000 0:00,,,"Ohio",,"Climb","Day","2 to 10","Small","Unknown bird - small",,,0,0,0,100,,1,"3,210",90
"MILITARY","T-1A","Airplane","WACO REGIONAL ARPT","< 1000 ft","None","No Clouds","Aborted Take-off","No damage",,8/2/2000 0:00,,,"Texas","Bird identified as sparrow.  No damage to aircraft._x000D_
_x000D_
No remains received at Smithsonian for identification.","Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"3,321",110
"MILITARY","T-1A","Airplane","LAREDO INTL","< 1000 ft","None","No Clouds","Aborted Take-off","No damage",,8/1/2000 0:00,,,"Texas","No damage to aircraft","Landing Roll","Day",1,"Small","Scissor-tailed flycatcher",,,0,0,0,0,0,1,"3,651",130
"MILITARY","KC-135R","Airplane","PEASE INTL TRADEPORT","< 1000 ft",,"Overcast","None","No damage",,7/28/2000 0:00,,,"New Hampshire",,"Approach","Day",1,"Small","Unknown bird - small",,,0,0,0,200,,1,"3,650",135
"MILITARY","KC-135R","Airplane","RICKENBACKER INTL","Unknown","None","Overcast","None","No damage",,7/27/2000 0:00,,,"Ohio","Bird struck the radome of the aircraft. The remains of the bird were recovered and disposed of by Port Authority Personnel.","Climb","Day",1,,"Hawks, eagles, vultures",,,0,0,0,,,1,"3,649",
"MILITARY","F-16A","Airplane","FORT SMITH MUNICIPAL ARPT","< 1000 ft","None","No Clouds","None","No damage",,7/26/2000 0:00,,,"Arkansas",,"Landing Roll","Day",1,"Small","Northern rough-winged swallow",,,0,0,0,0,0,1,"3,224",140
"MILITARY","C-21A","Airplane","NEWPORT NEWS/WILLIAMSBURG INTL","< 1000 ft","None","Overcast","Aborted Take-off","No damage",,7/26/2000 0:00,,,"Virginia",,"Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"3,223",120
"MILITARY","C-130H","Airplane","JACKSON EVERS INTL","> 1000 ft","None","No Clouds","None","No damage",,7/25/2000 0:00,,,"Mississippi","Buzzard","Approach","Day",1,"Large","Unknown bird - large",,,0,0,0,"1,300",,1,"3,222",120
"MILITARY","KC-135E","Airplane","MCGHEE TYSON ARPT","Unknown","None","No Clouds","Precautionary Landing","No damage",,7/21/2000 0:00,,,"Tennessee",,"Landing Roll","Day",1,"Medium","Unknown bird or bat",,,0,0,0,,0,1,"3,319",
"MILITARY","C-9A","Airplane","DECATUR ARPT","> 1000 ft","None","No Clouds","None","No damage",,7/21/2000 0:00,,,"Illinois","Bird impact piont was the radome. no reportable damage noted. Remains sent.","Approach","Day",1,"Small","Chimney swift",,,0,0,0,"1,500",,1,"3,320",140
"MILITARY","C-17A","Airplane","CHARLESTON AFB/INTL ARPT","> 1000 ft","None","No Cloud","None","No damage",,7/21/2000 0:00,,,"South Carolina","BIRD WAS STRUK IN THE LOCAL KCHS TRAFIC PATTERN.","Approach","Dusk",,"Medium","Unknown bird or bat",,,0,0,0,"1,500",,1,"7,336",180
"MILITARY","KC-135E","Airplane","MCGHEE TYSON ARPT","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,7/21/2000 0:00,,,"Tennessee","Impact point: Radome/nose","Approach","Day",1,"Medium","Unknown bird - medium",,,0,0,0,25,,1,"3,318",147
"MILITARY","A-10A","Airplane","W K KELLOGG ARPT","Unknown","None","No Clouds","None","No damage",,7/20/2000 0:00,,,"Michigan",,,"Night",1,"Medium","Unknown bird or bat",,,0,0,0,,,1,"3,317",
"MILITARY","AT-38B","Airplane","SHEPPARD AIR FORCE BASE","> 1000 ft","None","No Cloud","None","No damage",,7/19/2000 0:00,,,"Texas",,"Approach","Day",,"Small","Chimney swift",,,0,0,0,"1,800",,1,"4,262",300
"MILITARY","T-1A","Airplane","FORBES FIELD AIRPORT","< 1000 ft","None","Overcast","Aborted Take-off","No damage",,7/19/2000 0:00,,,"Kansas",,"Take-off run","Day","2 to 10","Small","Cliff swallow",,,0,0,0,0,0,1,"1,184",130
"MILITARY","C-9A","Airplane","ST LOUIS REGIONAL","< 1000 ft","None","No Clouds","None","No damage",,7/19/2000 0:00,,,"Illinois","Sorry for the little bit of remains, but this was all that was left of the bird. The impact points were on the left wing leading edge slat and just above the copilots clearview window. No reportable damage noted. Remains are being sent.","Take-off run","Day","2 to 10","Small","Barn swallow",,,0,0,0,0,0,1,"2,297",130
"MILITARY","C-130H","Airplane","TSTC WACO","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,7/19/2000 0:00,,,"Texas","BIRD NOT FOUND","Approach","Day",1,"Small","Unknown bird - small",,,0,0,0,150,,1,"4,106",150
"MILITARY","C-21A","Airplane","MOBILE REGIONAL","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,7/19/2000 0:00,,,"Alabama","ACFT SPENT 12 HRS ON THE GROUND AFTER THE PRECAUTIONARY LANDING AWAITING CONTRACT MAITENANCE TO INSPECT ACFT.  NO DAMAGE FOUND.","Approach","Day",1,"Small","Unknown bird - small",,,0,0,0,10,,1,"2,298",120
"MILITARY","C-130E","Airplane","QUONSET STATE ARPT","< 1000 ft","None",,"Aborted Take-off","No damage",,7/19/2000 0:00,,,"Rhode Island","Bir Strike reported to Westover Safety office. Requested remains be mailed to Smithsonian. ????????","Take-off run","Day","2 to 10","Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,299",90
"MILITARY","AT-38B","Airplane","SHEPPARD AIR FORCE BASE","< 1000 ft","None","No Cloud","None","No damage",,7/18/2000 0:00,,,"Texas",,"Take-off run","Day",1,"Small","Scissor-tailed flycatcher",,,0,"4,267","4,267",0,0,1,"4,261",100
"MILITARY","KC-135R","Airplane","MCGHEE TYSON ARPT","< 1000 ft","None","Some Clouds","Precautionary Landing","No damage",,7/18/2000 0:00,,,"Tennessee","After inspection on ground found no damage plane continued flight","Approach","Day","11 to 100","Medium","Unknown bird - medium",,,0,0,0,400,,1,"4,105",160
"MILITARY","C-130H","Airplane","ROCHESTER INTL","> 1000 ft","None","No Clouds","Precautionary Landing","No damage",,7/17/2000 0:00,,,"Minnesota","Impacted left swing window","Approach","Day",1,"Small","Northern mockingbird",,,0,0,0,"2,000",,1,"4,104",150
"MILITARY","AT-38B","Airplane","SHEPPARD AIR FORCE BASE","> 1000 ft","None","No Cloud","None","No damage",,7/17/2000 0:00,,,"Texas",,"Approach","Day",1,"Medium","Unknown bird or bat",,,0,21,21,"1,800",,1,"4,259",300
"MILITARY","T-41D","Airplane","NIAGARA FALLS INTL","< 1000 ft","None","Some Clouds","Precautionary Landing","No damage",,7/15/2000 0:00,,,"New York","REMAINS NOT SENT","Approach","Dusk",,"Medium","Unknown bird - medium",,,0,0,0,70,,1,"4,103",70
"MILITARY","KC-135R","Airplane","HARRISBURG INTL","Unknown","None","No Clouds","None","No damage",,7/13/2000 0:00,,,"Pennsylvania",,"Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,,0,1,"4,102",
"MILITARY","KC-135E","Airplane","HARRISBURG INTL","< 1000 ft","None","Some Clouds","Precautionary Landing","No damage",,7/13/2000 0:00,,,"Pennsylvania",,"Climb","Day",1,"Small","Unknown bird - small",,,0,0,0,50,,1,"2,886",150
"MILITARY","KC-135R","Airplane","NIAGARA FALLS INTL","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,7/13/2000 0:00,,,"New York",,"Take-off run","Day","11 to 100","Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,120",150
"MILITARY","KC-135R","Airplane","NIAGARA FALLS INTL","< 1000 ft","None","No Clouds","Precautionary Landing","No damage",,7/13/2000 0:00,,,"New York","Bird not found, Strike marks on acft lower nose, right side of fuselage","Approach","Day",1,"Medium","Unknown bird - medium",,,0,0,0,300,,1,"4,100",150
"MILITARY","EC-18B","Airplane","MAHLON SWEET FLD","< 1000 ft","None",,"None","No damage",,7/13/2000 0:00,,,"Oregon",,"Take-off run","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"4,101",135
"MILITARY","KC-135T","Airplane","SPOKANE INTERNATIONAL","< 1000 ft","None","No Clouds","None","No damage",,7/12/2000 0:00,,,"Washington","no remains","Landing Roll","Day",1,"Medium","Unknown bird or bat",,,0,0,0,0,0,1,"2,884",170
"MILITARY","C-130E","Airplane","PENSACOLA REGIONAL","< 1000 ft","None","No Clouds","None","No damage",,7/12/2000 0:00,,,"Florida","Report # 00-0405/No damage/No remains.  Bird struck #3 prop and was ingested by the #3 engine.","Approach","Day",1,"Medium","Unknown bird - medium",,,0,0,0,75,,1,"2,885",120
"MILITARY","MC-130H","Airplane","PENSACOLA REGIONAL","< 1000 ft","None","No Clouds","Engine Shut Down","No damage",,7/12/2000 0:00,,,"Florida","Damage to Number 3 Engine","Approach","Day",1,"Large","Unknown bird - large",,,0,0,0,75,,1,"2,883",140
